"id";"oil_field";"tag_key";"tag_value";"last_update";"last_actual_update";"description";"note";"status"
"3385";"NRG";"NJ_1a_REAL_DATA_Temperature_OIL";"21.1217651367";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ1а";"Температура Жидкости";"A"
"3386";"NRG";"NJ_1a_PIT_koll__OutV";"-0.00434027798474";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ1а";"Давление в коллекторе";"A"
"3387";"NRG";"NJ_1a_main_db_Cel_Otvoda";"3";"2022-05-15 22:27:24";"2022-05-15 17:00:21";"ГЗУ1а";"Текущий отвод на замере";"A"
"3388";"NRG";"NJ_1a_main_db_Tekuwaya_vremya_otvoda-1";"0";"2022-05-15 22:27:24";"2022-05-15 17:00:17";"ГЗУ1а";"Пройденное время";"A"
"3389";"NRG";"NJ_1a_MASSOMER_DATA_Average_Oil_Volume(m3/sut)";"5.21114873886";"2022-05-15 22:27:24";"2022-05-15 17:00:16";"ГЗУ1а";"Дебет жидкости объемный";"A"
"3390";"NRG";"NJ_1a_MASSOMER_DATA_NUM_Skv";"713";"2022-05-15 22:27:24";"2022-05-15 17:00:19";"ГЗУ1а";"Скважина";"A"
"3391";"NRG";"NJ_B1_LIQUID_TIT";"21.53";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ1в";"Температура Жидкости";"A"
"3392";"NRG";"NJ_B1_pit_koll";"0.0";"2022-05-15 22:27:24";"2022-05-14 11:20:48";"ГЗУ1в";"Давление в коллекторе";"A"
"3393";"NRG";"NJ_B1_proid_vr_Zu1b";"84";"2022-05-15 22:27:24";"2022-05-15 17:35:48";"ГЗУ1в";"Пройденное время";"A"
"3394";"NRG";"NJ_B1_tek_pol_PSM_Zu1b";"7";"2022-05-15 22:27:24";"2022-05-15 16:00:55";"ГЗУ1в";"Текущий отвод на замере";"A"
"3395";"NRG";"NJ_B1_last_Qv";"17";"2022-05-15 22:27:24";"2022-05-15 16:00:41";"ГЗУ1в";"Дебет жидкости объемный";"A"
"3396";"NRG";"NJ_B1_last_skv";"714";"2022-05-15 22:27:24";"2022-05-15 16:00:55";"ГЗУ1в";"Скважина";"A"
"3397";"NRG";"NJ_2a_REAL_DATA_OP_OIL_Temperature";"21.755065918";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ2а";"Температура Жидкости";"A"
"3398";"NRG";"NJ_2a_PIT_OutV";"2.75721120834";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ2а";"Давление в коллекторе";"A"
"3399";"NRG";"NJ_2a_main_db_ostalos_vremya";"88";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ2а";"Оставшееся время";"A"
"3400";"NRG";"NJ_2a_main_db_Tekuwii-Otvod";"12";"2022-05-15 22:27:24";"2022-05-15 16:05:55";"ГЗУ2а";"Текущий отвод на замере";"A"
"3401";"NRG";"NJ_2a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"6.49674129486";"2022-05-15 22:27:24";"2022-05-15 15:59:33";"ГЗУ2а";"Дебет жидкости объемный";"A"
"3402";"NRG";"NJ_2a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"300";"2022-05-15 22:27:24";"2022-05-15 15:59:33";"ГЗУ2а";"Скважина";"A"
"3403";"NRG";"NJ_3a_REAL_DATA_OP_OIL_Temperature";"22.7478027344";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ3а";"Температура Жидкости";"A"
"3404";"NRG";"NJ_3a_PIT_OutV";"3.38669848442";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ3а";"Давление в коллекторе";"A"
"3405";"NRG";"NJ_3a_main_db_ostalos_vremya";"110";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ3а";"Оставшееся время";"A"
"3406";"NRG";"NJ_3a_main_db_Tekuwii-Otvod";"3";"2022-05-15 22:27:24";"2022-05-15 17:25:55";"ГЗУ3а";"Текущий отвод на замере";"A"
"3407";"NRG";"NJ_3a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"8.42197132111";"2022-05-15 22:27:24";"2022-05-15 17:23:25";"ГЗУ3а";"Дебет жидкости объемный";"A"
"3408";"NRG";"NJ_3a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"534";"2022-05-15 22:27:24";"2022-05-15 17:23:25";"ГЗУ3а";"Скважина";"A"
"3409";"NRG";"NJ_4a_REAL_DATA_OP_OIL_Temperature";"32.2321777344";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ4а";"Температура Жидкости";"A"
"3410";"NRG";"NJ_4a_PIT_OutV";"4.82227182388";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ4а";"Давление в коллекторе";"A"
"3411";"NRG";"NJ_4a_main_db_ostalos_vremya";"115";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ4а";"Оставшееся время";"A"
"3412";"NRG";"NJ_4a_main_db_Tekuwii-Otvod";"1";"2022-05-15 22:27:25";"2022-05-15 17:30:55";"ГЗУ4а";"Текущий отвод на замере";"A"
"3413";"NRG";"NJ_4a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"0.742967486382";"2022-05-15 22:27:25";"2022-05-15 17:29:53";"ГЗУ4а";"Дебет жидкости объемный";"A"
"3414";"NRG";"NJ_4a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"448";"2022-05-15 22:27:25";"2022-05-15 17:29:53";"ГЗУ4а";"Скважина";"A"
"3415";"NRG";"NJ_5a_REAL_DATA_OP_OIL_Temperature";"19.7815856934";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ5а";"Температура Жидкости";"A"
"3416";"NRG";"NJ_5a_PIT_OutV";"4.90772199631";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ5а";"Давление в коллекторе";"A"
"3417";"NRG";"NJ_5a_main_db_ostalos_vremya";"169";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ5а";"Оставшееся время";"A"
"3418";"NRG";"NJ_5a_main_db_Tekuwii-Otvod";"9";"2022-05-15 22:27:25";"2022-05-15 17:25:55";"ГЗУ5а";"Текущий отвод на замере";"A"
"3419";"NRG";"NJ_5a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"12.4856843948";"2022-05-15 22:27:25";"2022-05-15 17:24:27";"ГЗУ5а";"Дебет жидкости объемный";"A"
"3420";"NRG";"NJ_5a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"105";"2022-05-15 22:27:25";"2022-05-15 17:24:27";"ГЗУ5а";"Скважина";"A"
"3427";"NRG";"NJ_7a_REAL_DATA_OP_OIL_Temperature";"25.0830078125";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ7а";"Температура Жидкости";"A"
"3428";"NRG";"NJ_7a_PIT_OutV";"-10.6728000641";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ7а";"Давление в коллекторе";"A"
"3429";"NRG";"NJ_7a_main_db_ostalos_vremya";"0";"2022-05-15 22:27:25";"2022-05-15 02:30:55";"ГЗУ7а";"Оставшееся время";"A"
"3430";"NRG";"NJ_7a_main_db_Tekuwii-Otvod";"14";"2022-05-15 22:27:25";"2022-05-15 02:30:55";"ГЗУ7а";"Текущий отвод на замере";"A"
"3431";"NRG";"NJ_7a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"0.28119122982";"2022-05-15 22:27:25";"2022-05-15 02:26:51";"ГЗУ7а";"Дебет жидкости объемный";"A"
"3432";"NRG";"NJ_7a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"341";"2022-05-15 22:27:25";"2022-05-15 02:26:51";"ГЗУ7а";"Скважина";"A"
"3433";"NRG";"NJ_8a_REAL_DATA_OP_OIL_Temperature";"16.3567810059";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ8а";"Температура Жидкости";"A"
"3435";"NRG";"NJ_8a_main_db_ostalos_vremya";"167";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ8а";"Оставшееся время";"A"
"3436";"NRG";"NJ_8a_main_db_Tekuwii-Otvod";"10";"2022-05-15 22:27:25";"2022-05-14 20:25:55";"ГЗУ8а";"Текущий отвод на замере";"A"
"3437";"NRG";"NJ_8a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"15.0848016739";"2022-05-15 22:27:25";"2022-05-15 16:22:01";"ГЗУ8а";"Дебет жидкости объемный";"A"
"3438";"NRG";"NJ_8a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"707";"2022-05-15 22:27:25";"2022-05-14 20:22:51";"ГЗУ8а";"Скважина";"A"
"3439";"NRG";"NJ_9a_REAL_DATA_OP_OIL_Temperature";"27.1110229492";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ9а";"Температура Жидкости";"A"
"3440";"NRG";"NJ_9a_PIT_OutV";"3.2072520256";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ9а";"Давление в коллекторе";"A"
"3441";"NRG";"NJ_9a_main_db_ostalos_vremya";"0";"2022-05-15 22:27:25";"2022-05-15 14:45:55";"ГЗУ9а";"Оставшееся время";"A"
"3442";"NRG";"NJ_9a_main_db_Tekuwii-Otvod";"14";"2022-05-15 22:27:25";"2022-05-15 14:45:55";"ГЗУ9а";"Текущий отвод на замере";"A"
"3443";"NRG";"NJ_9a_Poslednyi_zamer_poslednyi_zamer_Debet_jidkosti_m3/sut";"9.37120437622";"2022-05-15 22:27:25";"2022-05-15 14:42:35";"ГЗУ9а";"Дебет жидкости объемный";"A"
"3444";"NRG";"NJ_9a_Poslednyi_zamer_poslednyi_zamer_Nomer_skv";"1";"2022-05-15 22:27:25";"2022-05-15 14:42:35";"ГЗУ9а";"Скважина";"A"
"3445";"NRG";"NJ_2m_TIT_LIQ";"18.125";"2022-05-15 22:27:25";"2022-05-15 17:35:30";"ГЗУ2м";"Температура Жидкости";"A"
"3446";"NRG";"NJ_2m_PIT_KOLL";"0.344475507736";"2022-05-15 22:27:25";"2022-05-15 17:35:56";"ГЗУ2м";"Давление в коллекторе";"A"
"3447";"NRG";"NJ_2m_CURRENT_TIME";"112";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ2м";"Пройденное время";"A"
"3448";"NRG";"NJ_2m_Tekuwi_Otvod";"1";"2022-05-15 22:27:25";"2022-05-15 15:45:55";"ГЗУ2м";"Текущий отвод на замере";"A"
"3449";"NRG";"NJ_2m_last_Qv";"23.0";"2022-05-15 22:27:25";"2022-05-15 15:41:41";"ГЗУ2м";"Дебет жидкости объемный";"A"
"3450";"NRG";"NJ_2m_last_skv";"250";"2022-05-15 22:27:25";"2022-05-15 15:41:41";"ГЗУ2м";"Скважина";"A"
"3451";"NRG";"NJ_3s_TIT_LIQ";"21.75";"2022-05-15 22:27:25";"2022-05-15 17:35:55";"ГЗУ3";"Температура Жидкости";"A"
"3452";"NRG";"NJ_3s_PIT_KOLL";"0.0";"2022-05-15 22:27:25";"2022-05-14 11:21:00";"ГЗУ3";"Давление в коллекторе";"A"
"3453";"NRG";"NJ_3s_CURRENT_TIME";"71";"2022-05-15 22:27:25";"2022-05-15 17:35:17";"ГЗУ3";"Пройденное время";"A"
"3454";"NRG";"NJ_3s_Tekuwi_Otvod";"6";"2022-05-15 22:27:25";"2022-05-15 16:24:00";"ГЗУ3";"Текущий отвод на замере";"A"
"3455";"NRG";"NJ_3s_last_Qv";"42.5";"2022-05-15 22:27:25";"2022-05-15 16:23:36";"ГЗУ3";"Дебет жидкости объемный";"A"
